Best trial value: 0.06676275380849879
Best hyperparameters: {'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00017489205183753874, 'num_neurons': 87, 'num_hidden_layers': 2, 'l1_reg': 0.00040322538610911165, 'l2_reg': 2.899284099154708e-05}

All trial results:
Trial 40: Value=0.14235404610527366, Params={'optimizer': 'Adamax', 'activation_function': 'mish', 'learning_rate': 0.00017102260301644922, 'num_neurons': 87, 'num_hidden_layers': 12, 'l1_reg': 3.1167160075558914e-08, 'l2_reg': 3.7876440275793864e-08}
Trial 41: Value=0.13818752763902659, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.0041774719306966815, 'num_neurons': 33, 'num_hidden_layers': 20, 'l1_reg': 4.768786675999545e-07, 'l2_reg': 5.7622791020032014e-08}
Trial 42: Value=0.15090977971095307, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.007092731166094119, 'num_neurons': 42, 'num_hidden_layers': 19, 'l1_reg': 2.8548920316331224e-06, 'l2_reg': 1.1166340160237989e-08}
Trial 43: Value=0.24328391522495674, Params={'optimizer': 'Adamax', 'activation_function': 'silu', 'learning_rate': 0.0035992849320252095, 'num_neurons': 17, 'num_hidden_layers': 20, 'l1_reg': 1.7512300190289943e-07, 'l2_reg': 1.335000113899283e-07}
Trial 44: Value=0.18443110915818295, Params={'optimizer': 'SGD', 'activation_function': 'elu', 'learning_rate': 0.0009099652171319658, 'num_neurons': 30, 'num_hidden_layers': 16, 'l1_reg': 8.127199448229729e-07, 'l2_reg': 3.5256288144256505e-06}
Trial 45: Value=1.004111291007404, Params={'optimizer': 'Adagrad', 'activation_function': 'relu', 'learning_rate': 0.009930139265801899, 'num_neurons': 56, 'num_hidden_layers': 17, 'l1_reg': 0.8551326415123349, 'l2_reg': 6.744944937378882e-07}
Trial 46: Value=46.515053695653954, Params={'optimizer': 'Lion', 'activation_function': 'elu', 'learning_rate': 0.006242426662285439, 'num_neurons': 24, 'num_hidden_layers': 18, 'l1_reg': 1.158078540101193e-08, 'l2_reg': 2.6046590080843395e-08}
Trial 47: Value=0.23116263440347182, Params={'optimizer': 'Adam', 'activation_function': 'elu', 'learning_rate': 0.003044475824857787, 'num_neurons': 36, 'num_hidden_layers': 15, 'l1_reg': 0.0023857445917897105, 'l2_reg': 2.379890120742303e-07}
Trial 48: Value=1.0028572662475475, Params={'optimizer': 'RMSprop', 'activation_function': 'silu', 'learning_rate': 0.004362739134514478, 'num_neurons': 19, 'num_hidden_layers': 19, 'l1_reg': 9.70154975967098e-08, 'l2_reg': 0.48504076833059784}
Trial 49: Value=1.0043864596557006, Params={'optimizer': 'Adadelta', 'activation_function': 'sigmoid', 'learning_rate': 0.0011938270891250623, 'num_neurons': 28, 'num_hidden_layers': 14, 'l1_reg': 1.1069659523295677e-05, 'l2_reg': 3.3771027153870414e-08}
Trial 50: Value=0.1725906726868878, Params={'optimizer': 'Adamax', 'activation_function': 'tanh', 'learning_rate': 0.007839641272442018, 'num_neurons': 47, 'num_hidden_layers': 12, 'l1_reg': 3.0654219416016465e-08, 'l2_reg': 4.921651361789502e-06}
Trial 51: Value=0.13404553493953622, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.0020381417215578385, 'num_neurons': 74, 'num_hidden_layers': 16, 'l1_reg': 1.1597367553929151e-07, 'l2_reg': 1.7445620617333207e-05}
