name,hf_gibbs_free_energy_ev,hf_electronic_energy_ev,hf_entropy_ev,hf_enthalpy_ev,hf_dipole_moment,hf_homo_ev,hf_lumo_ev,dft_gibbs_free_energy_ev,dft_electronic_energy_ev,dft_entropy_ev,dft_enthalpy_ev,dft_dipole_moment,dft_homo_ev,dft_lumo_ev
011a-pos11,-49466.1348592455,-49477.9095864295,2.60772986393174,-49463.5271293816,2.26106,-7.8589,3.8761,-50084.7042411748,-50094.9181597917,2.77986536440988,-50081.9243758104,2.46657,-5.5365,-1.6287
012-pos12,-51077.2970988746,-51087.9268846765,2.63757396578499,-51074.6595249088,1.95908,-8.2616,3.8645,-51708.8834529789,-51718.166887331,2.71358138969977,-51706.1698715892,1.79024,-5.8379,-1.8725
014-pos14,-49466.7411313921,-49478.5767378227,2.57059310714649,-49464.170538285,2.86259,-8.0163,3.9071,-50085.2189230178,-50095.5175795639,2.69667277058915,-50082.5222505193,3.17495,-5.6265,-1.6314
002-GL-BA,-31640.0705135452,-31647.4178691036,2.02734419328251,-31638.0431693519,2.2108,-10.8095,4.0361,-32026.8607156693,-32033.2536692316,2.04364708665139,-32024.8170685827,2.64587,-7.5773,-1.8951
002-GL-M,-30461.8737101638,-30470.0393916753,1.96344747460667,-30459.9102626892,2.43529,-8.9288,4.9173,-30840.3271067237,-30847.4588195642,2.02281077420911,-30838.3042959495,2.43979,-6.4384,-1.4509
003-GL-M-BA,-43634.1112154091,-43644.8384362511,2.44681443960327,-43631.6644009695,1.24091,-8.8884,3.9875,-44173.7094607726,-44183.0375392344,2.56649643102704,-44171.1429643416,2.1349,-6.3512,-1.8726
004-GL-BA-M,-43634.2024538694,-43644.9850901812,2.40557012213897,-43631.7968837472,1.55391,-8.9444,3.9871,-44173.8341417701,-44183.2353258322,2.50198881644365,-44171.3321529537,1.67346,-6.5068,-1.6713
004-GL-M-BA-1,-43634.1091658465,-43644.86273984,2.43863061135402,-43631.6705352352,2.28542,-8.971,3.8504,-44173.8253203788,-44183.3143061015,2.42899070114428,-44171.3963296777,1.4609,-6.689,-1.5484
002-BA-BenZ-pipi,-24462.1274765211,-24466.8472536769,1.60900512481818,-24460.5184713962,4.81623,-4.8246,7.0798,-24766.9885054541,-24770.9971494324,1.64189989661332,-24765.3466055575,1.78993,-2.9437,2.069
002-M-BenZ,-23283.1692595555,-23288.5937760264,1.67496854924807,-23281.4942907341,4.61841,-3.7595,8.2718,-23579.9829090785,-23584.7590230821,1.66935973568619,-23578.3135493428,4.29531,-2.4087,2.5798
002-M-BenZ-pipi,-23283.0684179204,-23288.5587593097,1.61235729706099,-23281.4560606233,10.81595,-3.4351,8.5516,-23579.8765097872,-23584.6817603963,1.63389675205343,-23578.2426130352,10.9723,-2.0705,2.7562
002-BA-BenZ,-24462.0425083835,-24466.8032735253,1.58575951510844,-24460.4567488684,5.53072,-4.9178,7.3046,-24766.9814070886,-24771.0678593412,1.62799079001447,-24765.3534162986,5.25372,-3.4113,1.9342
